	_id	name	identifier	url
0	pmid32223077	Covid-19 LST Report 2020.04.01	lst2020.04.01	https://www.covid19lst.org/post/april-1-daily-covid-19-lst-report
1	pmid32208987	Covid-19 LST Report 2020.04.01	lst2020.04.01	https://www.covid19lst.org/post/april-1-daily-covid-19-lst-report
2	pmid32107119	Covid-19 LST Report 2020.04.01	lst2020.04.01	https://www.covid19lst.org/post/april-1-daily-covid-19-lst-report
3	pmid32232837	Covid-19 LST Report 2020.04.01	lst2020.04.01	https://www.covid19lst.org/post/april-1-daily-covid-19-lst-report
4	pmid32232980	Covid-19 LST Report 2020.04.01	lst2020.04.01	https://www.covid19lst.org/post/april-1-daily-covid-19-lst-report
5	pmid32232986	Covid-19 LST Report 2020.04.01	lst2020.04.01	https://www.covid19lst.org/post/april-1-daily-covid-19-lst-report
6	pmid32215952	Covid-19 LST Report 2020.04.01	lst2020.04.01	https://www.covid19lst.org/post/april-1-daily-covid-19-lst-report
7	pmid32232429	Covid-19 LST Report 2020.04.01	lst2020.04.01	https://www.covid19lst.org/post/april-1-daily-covid-19-lst-report
8	pmid32232976	Covid-19 LST Report 2020.04.01	lst2020.04.01	https://www.covid19lst.org/post/april-1-daily-covid-19-lst-report
9	pmid32233018	Covid-19 LST Report 2020.04.01	lst2020.04.01	https://www.covid19lst.org/post/april-1-daily-covid-19-lst-report
10	pmid32232648	Covid-19 LST Report 2020.04.01	lst2020.04.01	https://www.covid19lst.org/post/april-1-daily-covid-19-lst-report
11	pmid32231349	Covid-19 LST Report 2020.04.02	lst2020.04.02	https://www.covid19lst.org/post/april-2-daily-covid-19-lst-report
12	pmid32229155	Covid-19 LST Report 2020.04.02	lst2020.04.02	https://www.covid19lst.org/post/april-2-daily-covid-19-lst-report
13	pmid32229732	Covid-19 LST Report 2020.04.02	lst2020.04.02	https://www.covid19lst.org/post/april-2-daily-covid-19-lst-report
14	pmid32226289	Covid-19 LST Report 2020.04.02	lst2020.04.02	https://www.covid19lst.org/post/april-2-daily-covid-19-lst-report
15	pmid32233040	Covid-19 LST Report 2020.04.02	lst2020.04.02	https://www.covid19lst.org/post/april-2-daily-covid-19-lst-report
16	pmid32229706	Covid-19 LST Report 2020.04.02	lst2020.04.02	https://www.covid19lst.org/post/april-2-daily-covid-19-lst-report
17	pmid32229257	Covid-19 LST Report 2020.04.02	lst2020.04.02	https://www.covid19lst.org/post/april-2-daily-covid-19-lst-report
18	pmid32237278	Covid-19 LST Report 2020.04.02	lst2020.04.02	https://www.covid19lst.org/post/april-2-daily-covid-19-lst-report
