	name	url	url_works	working_url
0	Covid-19 LST Report 2020.04.01	https://www.covid19lst.org/post/april-1-daily-covid-19-lst-report	FALSE	https://github.com/outbreak-info/covid19_LST_report_data/blob/main/data/reports/20200401%202359%20Covid19%20update.docx.pdf
1	Covid-19 LST Report 2020.04.02	https://www.covid19lst.org/post/april-2-daily-covid-19-lst-report	FALSE	https://github.com/outbreak-info/covid19_LST_report_data/blob/main/data/reports/20200402%202359%20COVID19%20update.docx.pdf
2	Covid-19 LST Report 2020.04.03	https://www.covid19lst.org/post/april-3-daily-covid-19-lst-report	FALSE	https://github.com/outbreak-info/covid19_LST_report_data/blob/main/data/reports/20200403%202359%20COVID19%20update.docx.pdf
3	Covid-19 LST Report 2020.04.04	https://www.covid19lst.org/post/april-4-daily-covid-19-lst-report	FALSE	https://github.com/outbreak-info/covid19_LST_report_data/blob/main/data/reports/20200404%202359%20Weekend%20Covid19%20update.docx.pdf
4	Covid-19 LST Report 2020.04.06	https://www.covid19lst.org/post/april-6-daily-covid-19-lst-report	FALSE	https://github.com/outbreak-info/covid19_LST_report_data/blob/main/data/reports/20200406%202359%20Covid19%20update.docx.pdf
5	Covid-19 LST Report 2020.04.07	https://www.covid19lst.org/post/april-7-daily-covid-19-lst-report	FALSE	https://github.com/outbreak-info/covid19_LST_report_data/blob/main/data/reports/20200407%202138%20PST%20Daily%20Covid%20Update.docx.pdf
6	Covid-19 LST Report 2020.04.09	https://www.covid19lst.org/post/april-9-daily-covid-19-lst-report	FALSE	https://github.com/outbreak-info/covid19_LST_report_data/blob/main/data/reports/20200409%20Daily%20COVID-19%20Literature%20Surveillance%20Summary.docx.pdf
7	Covid-19 LST Report 2020.04.10	https://www.covid19lst.org/post/april-10-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/april-10-daily-report
8	Covid-19 LST Report 2020.04.11	https://www.covid19lst.org/post/april-11-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/april-11-12-weekend-report
9	Covid-19 LST Report 2020.04.15	https://www.covid19lst.org/post/april-15-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/april-15-daily-report
14	Covid-19 LST Report 2020.04.21	https://www.covid19lst.org/post/april-21-daily-covid-19-lst-report	FALSE	https://github.com/outbreak-info/covid19_LST_report_data/blob/main/data/reports/20200421%20Daily%20COVID-19%20Literature%20Surveillance%20Report%20.pdf
21	Covid-19 LST Report 2020.04.29	https://www.covid19lst.org/post/april-29-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/april-28-daily-covid-19-lst-report-1
32	Covid-19 LST Report 2020.06.03	https://www.covid19lst.org/post/june-3-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/june-2-daily-covid-19-lst-report-1
37	Covid-19 LST Report 2020.06.10	https://www.covid19lst.org/post/june-10-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/june-9-daily-covid-19-lst-report-1
40	Covid-19 LST Report 2020.06.13	https://www.covid19lst.org/post/june-13-daily-covid-19-lst-report	FALSE	https://github.com/outbreak-info/covid19_LST_report_data/blob/main/data/reports/20200613%20The%20COVID-19%20Daily%20Report.pdf
50	Covid-19 LST Report 2020.06.26	https://www.covid19lst.org/post/june-26-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/june-25-daily-covid-19-lst-report-1
52	Covid-19 LST Report 2020.07.01	https://www.covid19lst.org/post/july-1-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/june-30-daily-covid-19-lst-report
64	Covid-19 LST Report 2020.07.18	https://www.covid19lst.org/post/july-18-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/july-17-daily-covid-19-lst-report
78	Covid-19 LST Report 2020.08.06	https://www.covid19lst.org/post/august-6-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/august-5-daily-covid-19-lst-report-1
85	Covid-19 LST Report 2020.08.17	https://www.covid19lst.org/post/august-17-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/august-18-daily-covid-19-lst-report
133	Covid-19 LST Report 2020.11.02	https://www.covid19lst.org/post/november-2-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/november-02-daily-covid-19-lst-report
134	Covid-19 LST Report 2020.11.03	https://www.covid19lst.org/post/november-3-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/november-03-daily-covid-19-lst-report
169	Covid-19 LST Report 2021.01.04	https://www.covid19lst.org/post/january-4-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/january-04-daily-covid-19-lst-report
170	Covid-19 LST Report 2021.01.05	https://www.covid19lst.org/post/january-5-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/january-05-daily-covid-19-lst-report
171	Covid-19 LST Report 2021.01.06	https://www.covid19lst.org/post/january-6-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/december-6-daily-covid-19-lst-report
172	Covid-19 LST Report 2021.01.07	https://www.covid19lst.org/post/january-7-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/january-07-daily-covid-19-lst-report
173	Covid-19 LST Report 2021.01.08	https://www.covid19lst.org/post/january-8-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/january-08-daily-covid-19-lst-report
185	Covid-19 LST Report 2021.02.01	https://www.covid19lst.org/post/february-1-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/february-01-daily-covid-19-lst-report
186	Covid-19 LST Report 2021.02.02	https://www.covid19lst.org/post/february-2-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/february-02-daily-covid-19-lst-report
187	Covid-19 LST Report 2021.02.04	https://www.covid19lst.org/post/february-4-daily-covid-19-lst-report	FALSE	https://www.covid19lst.org/post/february-04-daily-covid-19-lst-report
